default	18:24:34.321341-0700	VNXNavigationApp	boringssl_context_info_handler(2391) [C1.1.1.1:2][0x112650000] Client handshake state: TLS 1.3 client read_server_certificate
default	18:24:34.321377-0700	VNXNavigationApp	boringssl_context_info_handler(2391) [C1.1.1.1:2][0x112650000] Client handshake state: TLS 1.3 client read_server_certificate_verify
default	18:24:34.321754-0700	VNXNavigationApp	boringssl_context_evaluate_trust_async(1819) [C1.1.1.1:2][0x112650000] Performing external trust evaluation
default	18:24:34.321875-0700	VNXNavigationApp	boringssl_context_evaluate_trust_async_external(1804) [C1.1.1.1:2][0x112650000] Asyncing for external verify block
default	18:24:34.321980-0700	VNXNavigationApp	Connection 1: asked to evaluate TLS Trust
default	18:24:34.323232-0700	VNXNavigationApp	[0x109347000] activating connection: mach=true listener=false peer=false name=com.apple.trustd
default	18:24:34.323741-0700	VNXNavigationApp	[0x109347200] activating connection: mach=true listener=false peer=false name=com.apple.trustd
default	18:24:34.328984-0700	VNXNavigationApp	[0x109347200] invalidated because the current process cancelled the connection by calling xpc_connection_cancel()
default	18:24:34.329058-0700	VNXNavigationApp	Task <B6A58D3B-3BF9-435C-BDAE-1830A37FB4D7>.<1> auth completion disp=0 cred=0x1126b8490
default	18:24:34.329343-0700	VNXNavigationApp	(Trust 0x1126d49c0) No pending evals, starting
default	18:24:34.329544-0700	VNXNavigationApp	[0x109347300] activating connection: mach=true listener=false peer=false name=com.apple.trustd
default	18:24:34.329722-0700	VNXNavigationApp	(Trust 0x1126d49c0) Completed async eval kickoff
default	18:24:34.333039-0700	VNXNavigationApp	(Trust 0x1126d49c0) trustd returned 4
default	18:24:34.333125-0700	VNXNavigationApp	System Trust Evaluation yielded status(0)
default	18:24:34.333168-0700	VNXNavigationApp	(Trust 0x1126d4b40) No pending evals, starting
default	18:24:34.333211-0700	VNXNavigationApp	(Trust 0x1126d4b40) Prior trust results valid
default	18:24:34.333240-0700	VNXNavigationApp	(Trust 0x1126d4b40) Completed async eval kickoff
default	18:24:34.333334-0700	VNXNavigationApp	[0x109347300] invalidated because the current process cancelled the connection by calling xpc_connection_cancel()
default	18:24:34.333436-0700	VNXNavigationApp	Connection 1: TLS Trust result 0
